Company,Location,Sector,About,Amount,Stage,Funding Year
Blackbuck,Bengaluru,Logistics,Provides trucking services,36382.05,Mid Stage,2020
Vernacular ai,Bengaluru,AI,It offers Multiligual AI platform,61849.48,Mid Stage,2020
Clover,Bengaluru,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,11157.16,Early Stage,2020
Varthana,Bengaluru,Fintech,Offers secured and unsecured loans,181910.23,Late Stage,2020
Codeninja,Bengaluru,SaaS,AI-powered 'no-code' platform which can generate application development code,36382.05,Early Stage,2020
MetaMerphoSys,Pune,Insurance technology,Digital insurance platform for businesses,36382.05,Other Stages,2020
Rooter,New Delhi,Gaming,Live sports engagement platform,20616.49,Other Stages,2020
Aker Foods,Pune,Foodtech & Logistics,Ai driven supply chain platform,36382.05,Mid Stage,2020
Sascan Meditech pvt ltd,Kerala,Healthtech,They are developing technology that can detect early cancerous cells,36382.05,Early Stage,2020
DailyHunt,Bengaluru,Media,News aggregator,431733.6,Other Stages,2020
Pratilipi,Bengaluru,Media,A digital platform that connects readers and writers in various languages,113997.08,Mid Stage,2020
Biryani By Kilo,New Delhi,Food,Online paltform to order biryani,9580.61,Mid Stage,2020
Consure Medical,New Delhi,Healthtech,"Novel platform technologies to manage, diagnose, and treat various GI disorders",5821.13,Other Stages,2020
Servify,Mumbai,Technology Services,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,3031.84,Late Stage,2020
Tessol,Mumbai,Logistics,It provides end to end cold chain logistics solutions,1940.38,Mid Stage,2020
Remedo,Noida,Healthtech,"It helps doctors engage with patients, improve patient experience",36382.05,Other Stages,2020
News Reach,Ahmedabad,Media,"It is a platform that digitalises local newspaper publishers, reporters, stringers by aggregating their content",36382.05,Early Stage,2020
RoomSoom,Noida,Housing,It provides co-living and student rooms,36382.05,Late Stage,2020
Pedagogy,Ahmedabad,Edtech,It has a single subscription model that allows users to access books and digital courses.,4850.94,Late Stage,2020
Classplus,Noida,Edtech,"It provides mobile-first software for coaching institutes, tuition centres and private tutors",99444.26,Mid Stage,2020
Medlife,Bengaluru,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,187973.9,Early Stage,2020
Qin1,Noida,Edtech,It is alearning platform for kids in the age group 5 to 14 yrs,36382.05,Other Stages,2020
MYSUN,New Delhi,Tech,Platform for rooftop solar energy solutions,51626.12,Other Stages,2020
ShopX,Bengaluru,Ecommerce,B2B retail operating system,17099.56,Mid Stage,2020
Sarva,Mumbai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,36382.05,Other Stages,2020
Expertrons,Mumbai,AI,AI video bot platform for career hacks,36382.05,Early Stage,2020
NewsBytes,Gurugram,Digital Media,News portal,18191.02,Mid Stage,2020
Wagonfly,Bengaluru,Retail Technology,Contactless shopping and delivery experience by using radio frequency to tag retail items,6063.67,Mid Stage,2020
NIRA,Bengaluru,Fintech,It offers access and credit to working Indians,25467.43,Other Stages,2020
Convosight,Hyderabad,Data Analytics,It helps business gain insights from its community on Facebook groups,48509.39,Other Stages,2020
Fittr,Pune,Fitness,Fitness Social Network & Consultation Platform,24254.7,Other Stages,2020
AsknBid,Bengaluru,Investment Tech,It builds algorithmic investing-based tech products,36382.05,Other Stages,2020
Bira91,Bengaluru,Beverage,Craft beer maker,242546.97,Mid Stage,2020
Finaureus Technologies,Pune,Fintech,Provides investment management solutions,36382.05,Other Stages,2020
Daily Ninja,Haryana,Ecommerce,Online Milk Delivery startup,4242.15,Early Stage,2020
Guvi Geek Network Pvt Ltd,Chennai,Edtech,Operates vernacular-language based education,9532.1,Other Stages,2020
LoadShare,Bengaluru,Logistics,Provides technology based solutions to SMEs in logistics,24303.21,Mid Stage,2020
Vedantu,Bengaluru,Edtech,Onine learning platform,82465.97,Mid Stage,2020
Indusface,Bengaluru,IT,It provides IT security solutions,60636.74,Other Stages,2020
DMI Group,New Delhi,Financial Services,Pan-India Credit providing platform,1491663.85,Mid Stage,2020
Spintly,Goa,IoT,It is a wireless cloud-based access control system,3007.58,Other Stages,2020
Credr,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,36382.05,Early Stage,2020
Bijak,Gurugram,Agritech,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics",145528.18,Mid Stage,2020
Bugworks,Bengaluru,Biopharma,A drug discovery company that aims to discover novel treatment options for resistant bacterial infections,90955.11,Late Stage,2020
DrinkPrime,Bengaluru,Water Technology,Water purifier subscription service,36382.05,Early Stage,2020
Yap,Chennai,Fintech,Banking and payment products-focused API platform,54573.07,Mid Stage,2020
UzhavarBumi,Tamil Nadu,Dairy,Provides fresh dairy products,36382.05,Mid Stage,2020
Tattva,New Delhi,Beauty & wellness,Sells its organic and beauty products via marketplace,1819.1,Mid Stage,2020
Pariksha,Pune,Edtech,Platform for vernacular test-preparation,36382.05,Other Stages,2020
DailyHunt,Bengaluru,Media,News aggregator,291056.36,Mid Stage,2020
NoBroker,Bengaluru,Real Estate,Online real estate rental startup,363820.45,Other Stages,2020
Box8,Mumbai,Foodtech,Enables to order food online,48509.39,Mid Stage,2020
Capital Float,Bengaluru,Fintech,Online platform that provides working capital finance to SMEs,181910.23,Other Stages,2020
ITILITE,Bengaluru,Travel & SaaS,Platform for business travel,157655.53,Mid Stage,2020
Morning Context,Singapore,Digital Media,A subscription-only digital media publisher,36382.05,Early Stage,2020
Aavenir,Ahmedabad,SaaS,Source-to-Pay Software,24254.7,Early Stage,2020
Savvy Co op,New York,Healthcare,It connects patients with healthcare companies,36382.05,Early Stage,2020
BLive,Bengaluru,Tourism & EV,"It offers experiential, guided tours on smart electric bikes",36382.05,Other Stages,2020
Yellow Messenger,Bengaluru,AI,It offers conversational chatbots,242546.97,Mid Stage,2020
Toch,Mumbai,Media Tech,AI based Video object detection and Tagging platform,4850.94,Early Stage,2020
Ewar,Bengaluru,Gaming,E-sports and real-time gaming startup,2425.47,Early Stage,2020
Setu,Bengaluru,Fintech,"Offers open APIs across four categories: bills, savings, credit, and payments.",172923.86,Mid Stage,2020
Wellthy Therapeutics,Bengaluru,Healthtech,It offers a digital therapeutics service,48509.39,Other Stages,2020
Power Gummies,New Delhi,Health,Offers health supplements related gummies,36382.05,Other Stages,2020
Locale ai,Bengaluru,Location Analytics,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,36382.05,Mid Stage,2020
FarEye,New Delhi,Logistics,"It enables businesses to execute, track, predict and oprimize the movements of goods",297120.04,Late Stage,2020
Rebel Foods,Mumbai,Food tech,It runs internet kitchen,606367.42,Early Stage,2020
BankBazaar,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,46083.92,Late Stage,2020
Porter,Mumbai,Logistics,Logistics and fleet management,222779.39,Late Stage,2020
SugarBox,Mumbai,Tech,Hyperlocal data distribution platform,831026.55,Mid Stage,2020
Capital Float,Bengaluru,Fintech,Online platform that provides working capital finance to SMEs,58211.27,Late Stage,2020
Big Basket,Bengaluru,E store,Online grocery store,727640.9,Mid Stage,2020
Amica,Mumbai,Fintech,Neobanking startup,24254.7,Other Stages,2020
Vedantu,Bengaluru,Edtech,Onine learning platform,151591.86,Mid Stage,2020
Fingerlix,Mumbai,Food,"It provides ready-to-cook products such as batters, mixes, curries, dals, parathas etc.,",22241.56,Other Stages,2020
Plop,Mumbai,Tech,It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,36382.05,Other Stages,2020
Zupee,Gurugram,Gaming,It runs live quiz tournaments on its app.,97018.79,Mid Stage,2020
DeHaat,Patna,Agritech,Online marketplace for farming services and products,145528.18,Mid Stage,2020
Lido Learning,Mumbai,Edtech,Online teaching service,90955.11,Mid Stage,2020
Aye Finance,Gurugram,Fintech,A finance lender to SMEs,289237.26,Other Stages,2020
Swiggy,Bengaluru,Foodtech,Platform to order food online from restaurants and getting it delievered,521475.98,Mid Stage,2020
Akna Medical,Bengaluru,Healthtech,Provides supply solutions for surgical and pharmaceutical products.,84891.44,Other Stages,2020
Zomato,Gurugram,Foodtech,Online food delivery and restaurant discovery platform,60636.74,Early Stage,2020
RaRa Delivery,Jakarta,Logistics,Provides same day delivery service for ecommerce businesses,9701.88,Early Stage,2020
JusPay,Bengaluru,Fintech,Online payment solutions,261950.73,Mid Stage,2020
Obviously AI,San Francisco,Data Science,It provides predictive insights to clients by leveraging their data,36382.05,Other Stages,2020
Fingpay,Mumbai,Fintech,Provides payment solutions,42445.72,Mid Stage,2020
Recko,Bengaluru,SaaS,The platform enables AI-powered reconciliation of digital transactions,72764.09,Mid Stage,2020
Furlenco,Bengaluru,Ecommerce,Furniture rental startup,121273.48,Other Stages,2020
Mera Cashier,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,1819.1,Early Stage,2020
Kitchens Centre,New Delhi,Food Service Infrastructure,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,6063.67,Early Stage,2020
Camp K12,Gurugram,Edtech,It connects students with tutors online,48509.39,Early Stage,2020
MedGenome,Bengaluru,Healthtech,Genetic diagnostic testing company,667004.16,Late Stage,2020
Ergos,Bengaluru,Agritech,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,55761.55,Other Stages,2020
Nykaa,Mumbai,Ecommerce,Deals in cosmetic and wellness products,159316.98,Early Stage,2020
Samadhan,New Delhi,Insurance,They help find solutions to insurance related issues,36382.05,Early Stage,2020
SaScan,Bengaluru,Healthcare,Cancer diagnostics startup,36382.05,Mid Stage,2020
Lido Learning,Mumbai,Edtech,Online teaching service,36382.05,Other Stages,2020
CureFit,Bengaluru,Health and Fitness,"Integrated platform for food, fitness and meditation.",1394645.07,Late Stage,2020
Nimesa,Bengaluru,SaaS,Cloud data managemnt solutions enterprise,36382.05,Early Stage,2020
Design X,Noida,IoT,Builds IoT based products,2425.47,Early Stage,2020
Driftly Electric,Bengaluru,Automobile,Electric vehicle startup,36382.05,Other Stages,2020
Imstrong,Bengaluru,Fitness,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,4850.94,Early Stage,2020
Craftsvilla,Mumbai,Marketplace,Online marketplace for ethnic wear,47296.66,Mid Stage,2020
Rupifi,Bengaluru,Fintech,Offers financial products for SMEs,36382.05,Other Stages,2020
SnackAmor,Mumbai,Food,It offers various healthy snacks,36382.05,Early Stage,2020
Zealthy,Bengaluru,Healthtech,"It connects women to healthproviders for specialities like infertility, maternity etc.,",36382.05,Early Stage,2020
CoinDCX,Mumbai,Fintech,A cryptocurrency trading platform,36382.05,Mid Stage,2020
NuNu TV,New Delhi,Media,Kids-focussed Youtube channel,8125.32,Mid Stage,2020
QTalk,Bengaluru,Technology,Smart Phone Dialer,19403.76,Early Stage,2020
Shadez,Mumbai,Interior & decor,Paint Company,1212.73,Early Stage,2020
Excess2Sell,Mumbai,Ecommerce,B2B Marketplace for Overstock & Surplus Inventory,12127.35,Mid Stage,2020
Stanplus,Hyderabad,Healthtech,Ambulance service,18191.02,Other Stages,2020
Pitstop,Bengaluru,Automobile,Doorstep car service,30318.37,Mid Stage,2020
Univariety,Hyderabad,Edtech,Online marketplace that provides career counselling and college guidance,13340.08,Mid Stage,2020
Peel Works,Mumbai,SaaS,E-commerce for corner/retail stores.,36382.05,Other Stages,2020
CoreStack,Chennai,Technology,Enterprise cloud governance technology startup,103082.46,Mid Stage,2020
Vivriti Capital,Chennai,Fintech,Digital lending startup,606367.42,Mid Stage,2020
Agnikul,Chennai,Spacetech,"It designs, fabricates, tests and launch orbital class launch vehicles",38176.89,Other Stages,2020
Fintso,Mumbai,Fintech,Wealth management platform,31531.11,Mid Stage,2020
Khatabook,Bengaluru,Fintech,It helps SMEs to maintain their accounts and ledger online.,36382.05,Other Stages,2020
Smart Coin,Bengaluru,Fintech,Consumer lending startup,84891.44,Mid Stage,2020
ZunRoof,Gurugram,Cleantech,"It specialises in solar rooftop design, installation, and management using technology",36382.05,Mid Stage,2020
Shop101,Mumbai,Social e-commerce,Enables entrepreneurs to sell online,47296.66,Mid Stage,2020
OM Bhakti,Bengaluru,FMCG,A puja cotton-wicks manufacturing startup,36382.05,Early Stage,2020
Lal10,Uttar Pradesh,B2B,It helps Indian artisans and SMEs reach out to global retailers,13340.08,Mid Stage,2020
Anaxee Digital Runner,Indore,Tech,A tech-enabled ID verification and data collection startup,36382.05,Early Stage,2020
CollegeKhabri,Bhopal,Edtech,Platform is an end-to-end college and career counselling platform for students,36382.05,Early Stage,2020
Ola Electric,Bengaluru,eMobility,Electric vehicle,12127.35,Late Stage,2020
Multi Living,Mumbai,Real Estate,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",72764.09,Mid Stage,2020
FamPay,Bengaluru,Fintech,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",56998.54,Early Stage,2020
UnboxRobotics Labs,Bengaluru,Automation tech,Automated flexible parcel sorting solutions for logistics providers,6063.67,Early Stage,2020
Karbon Card,Bengaluru,Fintech,Specialisde corporate cards for startups,24254.7,Early Stage,2020
Airmeet,Bengaluru,Media & Networking,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups",36382.05,Other Stages,2020
Innerchef,Gurugram,Foodtech,Cloud kitchen platform,12127.35,Early Stage,2020
Epigamia,Mumbai,FMCG,Flavoured and greek yoghurt brand,36382.05,Mid Stage,2020
StyleNook,Mumbai,Ecommerce,Marketplace for fashionable apparel,36382.05,Early Stage,2020
Callido Learning,Mumbai,Edtech,Provides a structured educational approach to critical thinking and problem solving skills,36382.05,Late Stage,2020
Soxytoes,New Delhi,Ecommerce,Online store to buy various types of socks including funky and colorful socks,36382.05,Other Stages,2020
F5,Bengaluru,E-market,Retail Aggregator,36382.05,Early Stage,2020
Paper Boat,Bengaluru,Food & Beverages,Ecommerce platform for beverages and snacks,49109.7,Early Stage,2020
Strata,Bengaluru,Proptech,Real estate investment platform,18191.02,Early Stage,2020
Salesken,Bengaluru,AI & Data science,Provides sales professionals with intelligence on various aspects of the sales pitch,97018.79,Mid Stage,2020
Arya,Noida,Agritech,Provides post-harvest services across the agricultural value chain,72764.09,Mid Stage,2020
Leap Finance,Bengaluru,Fintech,Provides education loans to students based on the student’s future income,66700.42,Mid Stage,2020
Sleepy Owl,New Delhi,Beverages,"It sells ready to drink cold brew coffees, brew boxes and packs.",36382.05,Early Stage,2020
Tricog,Bengaluru,Healthtech,Provides virtual cardiology services through its AI-powered healthcare platforms,127337.16,Mid Stage,2020
GogoBus,New Delhi,Travel tech,Inter-City Mobility Startup,36382.05,Mid Stage,2020
Trell,Bengaluru,Social e-commerce,Allows users to share their travel experiences,48509.39,Other Stages,2020
Spaciya Consultants,Noida,Real Estate,Real estate consultancy firms,6063.67,Other Stages,2020
Bounce,Bengaluru,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,78827.76,Other Stages,2020
Neeman,Hyderabad,Ecommerce,An eco-conscious footwear brand making comfortable shoes using Merino Wool,12127.35,Other Stages,2020
Chqbook,Gurugram,Fintech,"Marketplace for small business owners, offering them products around lending, credit cards etc",60636.74,Mid Stage,2020
SMEcorner,Mumbai,Fintech,Financial lending firm to SMEs,363820.45,Mid Stage,2020
Oda Class,Bengaluru,Edtech,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni",36382.05,Other Stages,2020
Spinny,Haryana,E-tail,Used car retailing platform,529965.13,Mid Stage,2020
goStops,New Delhi,Accomodation,A premium chain of youth hostels catering to the millennials,36382.05,Early Stage,2020
Umeed Housing,Haryana,Fintech,Housing finance company,278929.01,Late Stage,2020
Vogo,Bengaluru,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,242546.97,Mid Stage,2020
Flick Stree,Mumbai,AI & Media,Artificial intelligence-based video publishing network,36382.05,Mid Stage,2020
Qure ai,Mumbai,Healthtech,Provides interpretations of radiology scans,194037.57,Early Stage,2020
MinionLabs,Bengaluru,Machine Learning,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,36382.05,Early Stage,2020
Josh Talks,Haryana,Media,Community of young individuals providing a platform to showcase their stories,18191.02,Other Stages,2020
PhoneParLoan,New Delhi,Fintech,Provides easy loans,36382.05,Other Stages,2020
RailYatri,Noida,Travel,A complete Indian railways app,167357.41,Other Stages,2020
AjnaLens,Thane,Deeptech,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence",18191.02,Other Stages,2020
Pepper,Mumbai,Content Marktplace,End to end content creation platform,3721.88,Early Stage,2020
Rupeek,Bengaluru,Fintech,An asset backed online lending platform,363820.45,Early Stage,2020
iMerit,Kolkata,IT,Turns information into data that is usable for machine learning processes,242546.97,Mid Stage,2020
BharatPe,New Delhi,Fintech,Digital payments platform,909551.13,Mid Stage,2020
Invideo,Bengaluru,Visual Media,Video production and editing platform,30318.37,Early Stage,2020
AvalonMeta,Bengaluru,Edtech,It combines higher education and competitive gaming,5093.49,Mid Stage,2020
Near Store,Mumbai,Ecommerce,Enables a shop to create an online presence,3638.2,Early Stage,2020
ElecTorq,New Delhi,Automobile,Electric vehicle startup,36382.05,Early Stage,2020
Prayaan Capital,Chennai,Fintech,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)",14552.82,Early Stage,2020
Sanfe,New Delhi,Hygiene,Women health care and wellness product,13340.08,Other Stages,2020
Go Desi,New Delhi,Foodtech,Provides traditional delicacies,7607.49,Early Stage,2020
Swiggy,Bengaluru,Foodtech,Platform to order food online from restaurants and getting it delievered,1370390.37,Mid Stage,2020
Whatfix,Bengaluru,SaaS,"Digital adoption platform that helps companies provide intuitive onboarding, training and support",388075.15,Mid Stage,2020
Unacademy,Bengaluru,Edtech,Platform that offers online education in India,1334008.32,Late Stage,2020
Zvesta,Gurugram,Proptech,An online platform where users can search and buy properties listed by developers and brokers,66700.42,Late Stage,2020
Dunzo,Bengaluru,Logistics,India-based hyperlocal delivery startup,133400.83,Mid Stage,2020
Digit Insurance,Bengaluru,Insurtech,General Insurance Company,4123.3,Other Stages,2020
Yolo,Gurugram,Transport,Intercity transportation,7276.41,Early Stage,2020
SmartVizX,Noida,VR & SaaS,It developed India’s first VR-based design communication and collaboration product Trezi,16941.91,Other Stages,2020
MaxWholesale,New Delhi,Ecommerce,B2B ecommerce platform for kirana stores,36382.05,Mid Stage,2020
Carbon Clean,Bengaluru,Cleantech,Develops affordable carbon capture technology,194037.57,Other Stages,2020
Onsitego,Mumbai,Sales & Services,It offers post-purchase services through a network of brand authorised service centres throughout the country,230419.62,Mid Stage,2020
Genius Corner,Noida,Edtech,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,3031.84,Mid Stage,2020
PlanetSpark,Gurugram,Edtech,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,5439.12,Mid Stage,2020
CamCom,Bengaluru,AI & Deep learning,AI automation platform for enterprise quality control,36382.05,Early Stage,2020
Simsim,Bengaluru,Social Commerce,It enables community opinion influencers to sell products to thousands of micro-communities in India,97018.79,Mid Stage,2020
Shuttl,New Delhi,Transport,App based bus aggregator serice,96724.09,Mid Stage,2020
HooLiv,New Delhi,Housing & Rentals,Student Co-living startup,36382.05,Mid Stage,2020
ClassMonitor,Indore,Edtech,The learning platform that blends curriculum-based activities for children,36382.05,Other Stages,2020
Friyey,Pune,Co-working,Co working space startup,36382.05,Other Stages,2020
Oga,Bengaluru,Fitness,Provides interactive fitness experience to people across the world,4002.02,Early Stage,2020
Big Basket,Bengaluru,Estore,Online grocery store,42445.72,Mid Stage,2020
CYFIRMA,Bengaluru,SaaS,Offer cybersecurity services,36382.05,Mid Stage,2020
Innoviti,Bengaluru,Fintech,Digital payments solutions company,60636.74,Early Stage,2020
Paytm money,Bengaluru,Fintech,Wealth Management,67913.15,Early Stage,2020
Vedantu,Bengaluru,Edtech,Onine learning platform,291056.36,Mid Stage,2020
Yap,Chennai,Fintech,Banking and payment products-focused API platform,17002.54,Early Stage,2020
Clover,Bengaluru,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,66700.42,Mid Stage,2020
Nova Credit,New Delhi,Fintech,Cross-border consumer credit startup,606367.42,Mid Stage,2020
CodingNinjas,New Delhi,Edtech,Online learning platform,63062.21,Mid Stage,2020
Furlenco,Bengaluru,Ecommerce,Furniture rental startup,26680.17,Mid Stage,2020
Brick&Bolt,Bengaluru,Construction and Real Estate,Operates in the residential construction space,18191.02,Other Stages,2020
HempStreet,New Delhi,Healthtech,Manufacturer of ayurvedic medicines based on cannabis,12127.35,Other Stages,2020
MoEngage,Bengaluru,Marketing,Customer analytics and cross-channel engagement platform,303183.71,Mid Stage,2020
Classplus,Noida,Edtech,It allows coaching centres to take their brick-and-mortar setup online,30318.37,Other Stages,2020
Chaayos,New Delhi,Beverages,Provides customised range of tea,260737.99,Early Stage,2020
PetPooja,Ahmedabad,SaaS,Restaurant management software provider,24254.7,Early Stage,2020
Altor,Bengaluru,Tech,Makes helmets that are IoT and AI enabled,36382.05,Other Stages,2020
Pepperfry,Mumbai,E-market,Online home furniture marketplace,485093.94,Late Stage,2020
FirstCry,Pune,E-market,Baby products marketplace,3589695.13,Late Stage,2020
Byju,Bengaluru,Edtech,Provides online learning classes,2425469.68,Mid Stage,2020
Waycool,Chennai,Agritech,Food development and distribution services,388075.15,Mid Stage,2020
WorkIndia,Mumbai,HR tech,An online and mobile-based platform that connects companies with blue collar employees.,72764.09,Other Stages,2020
Qyuki,Mumbai,Media,Multi-channel broadcast network,42445.72,Mid Stage,2020
Leap India,Coimbatore,Agritech,Agricultural warehousing and logistics company,363820.45,Mid Stage,2020
Picxy,Hyderabad,Media,Stock photo industry,3031.84,Mid Stage,2020
Krimanshi,Jodhpur,Agritech,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,242.55,Early Stage,2020
NEETprep,New Delhi,Edtech,Provides crash course for NEET preparation,36382.05,Mid Stage,2020
Dot Pvt. Ltd,Gurugram,Fintech,It provides digital transformation and commerce solutions to brick and mortar outlets,97018.79,Early Stage,2020
Kuku FM,Mumbai,Media,A podcast platform,66700.42,Mid Stage,2020
SuperMoney,Mumbai,Fintech,Provides financial tools for effective business making,12127.35,Other Stages,2020
Rebel Foods,Mumbai,Food tech,It runs internet kitchen,59424.01,Other Stages,2020
AlphaVector,Bengaluru,E tailor,It sells modern age bicycles named FROG,36382.05,Mid Stage,2020
Fox Capital,Jaipur,Fintech,Digital lending startup,30318.37,Early Stage,2020
Tribe Theory,Bengaluru,Accomodation,An entrepreneur-focused hostel chain present in multiple locations across the world.,42445.72,Early Stage,2020
Fleetx,Gurugram,SaaS,Fleet management and predictive analytics platform,17007.39,Mid Stage,2020
Embibe,Mumbai,Edtech,It provides AI-based data analytics to personalise learning outcomes,153026.52,Mid Stage,2020
Entri,Kochi,Edtech,It is a app that provides different types of learning content in local languages,16978.29,Early Stage,2020
Oye! Rickshaw,New Delhi,E-mobility,App-based electric rickshaw hailing service,121273.48,Mid Stage,2020
Seal Professional,Bengaluru,Edtech,Trains students in managemnt and leadership skills and also helps in placement,36382.05,Other Stages,2020
Sprinng Foods,Mumbai,Food,Provides Gluten-free food,36382.05,Mid Stage,2020
1MG,Gurugram,Healthtech,Online pharmacy,120060.75,Early Stage,2020
Aagey,Bengaluru,Fintech,Provides financial assistance to MSMEs,36382.05,Early Stage,2020
Doubtnut,Gurugram,Edtech,Multi-lingual digital solutions platform for students,181910.23,Mid Stage,2020
AdonMo,Bengaluru,Ad-tech,It is an online and outdoor advertising company,36382.05,Early Stage,2020
RACEnergy,Hyderabad,E-mobility,It builds electric vehicles and supporting infrastructure,36382.05,Early Stage,2020
BharatPe,New Delhi,Fintech,Digital payments platform,1212734.84,Other Stages,2020
Kisan Network,Gurugram,Agritech,Integrated supply chain for farmers to sell their produce directly to buyers,36382.05,Early Stage,2020
Vogo,Bengaluru,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,424457.19,Mid Stage,2020
Yolo,Gurugram,Transport,Intercity transportation startup,7276.41,Early Stage,2020
Unotech,Mumbai,SaaS,It develops fully-customisable open source software,24254.7,Early Stage,2020
Zetwerk,Bengaluru,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,26680.17,Mid Stage,2020
CureSkin,Bengaluru,Healthtech,Provides a treatment solution for skincare and hair fall issues with an artificial intelligence-enabled solution,6063.67,Mid Stage,2020
WizKlub,Bengaluru,Edtech,Helps students solve problems at complex level,11915.48,Early Stage,2020
Interviewbit,Pune,Edtech,Platform that provides coding and interview preparation course by industry professionals from tech companies,2425469.68,Mid Stage,2020
MoneyTap,Bengaluru,Fintech,App-based consumer credit line that gives customers access to credit on tap.,851160.37,Mid Stage,2020
Uniplatform Tech,New Delhi,SaaS,Runs real estate SaaS platform MultiplyMyLeads.com.,36382.05,Early Stage,2020
INdwealth,Gurugram,Fintech,An Artificial Intelligence and Machine learning based wealth management platform,145528.18,Mid Stage,2020
Bizongo,Mumbai,Marketplace,A B2B marketplace for packaging materials,363820.45,Mid Stage,2020
AppsFlyer,Bengaluru,SaaS,Mobile marketing analytics and attribution platform,2546743.17,Late Stage,2020
Digit Insurance,Bengaluru,Insurtech,General Insurance Company,1018697.27,Early Stage,2020
Livspace,Bengaluru,Interior Design,It offers end-to-end home design experience for homeowners and home designers,727640.9,Late Stage,2020
GetVantage,Mumbai,Fintech,Revenue based finance provider,36382.05,Early Stage,2020
Konfinity,Noida,Edtech,Provides online coding courses,36382.05,Other Stages,2020
Pine Labs,Noida,Fintech,Retail payment and hardware company,36382.05,Late Stage,2020
Instoried,New Delhi,SaaS,Augmented writing platform which improves customer interest and engagement.,36382.05,Mid Stage,2020
Nupay,Haryana,Neo-banking,"Integrated platform for Receivables and Payables automation, Electronic Invoicing, Reconciliations and Bank payouts",36382.05,Early Stage,2020
LogiNext,Mumbai,Transport Automation,"It helps logistics companies to improve internal operations, optimise delivery networks and provide customer service",472966.59,Mid Stage,2020
Samosa Singh,Bengaluru,Food,Offers hygienic Indian Snacks,32743.84,Mid Stage,2020
Crysta,New Delhi,Healthtech,Offers diagnostic and screening services with regular counselling and clinical data management,17019.52,Other Stages,2020
Eupheus Learning,New Delhi,Edtech,"Provides technology-led, subscription-based learning solutions to schools",52147.6,Mid Stage,2020
Bounce,Bengaluru,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,1273371.58,Late Stage,2020
Park+,Gurugram,Techonology,It is engaged in bringing digitization in parking,133400.83,Mid Stage,2020
Goodmylk,Bengaluru,Dairy,Provides Vegan dairy products,4850.94,Early Stage,2020
SmartKarrot,Bengaluru,SaaS,It tracks customers’ real-time digital behaviour,12127.35,Early Stage,2020
Skylo,Bengaluru,IoT,Provides affordable and ever present network that connects machines or sensors,1249116.89,Mid Stage,2020
Tea Trunk,Goa,Beverage,Global premium tea brand,2668.02,Late Stage,2020
Zoomcar,Bengaluru,Transport & Rentals,A car rental service platform,363820.45,Late Stage,2020
Mera Cashier,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,3031.84,Early Stage,2020
Samya AI,Bengaluru,SaaS,Revenue growth AI startup in the consumer packed goods (CPG) space,72764.09,Early Stage,2020
Kristal AI,Bengaluru,AI,Provides Algorithm-based financial services,72764.09,Mid Stage,2020
Invento Robotics,Bengaluru,AI Robotics,Known for Mitra Series of Robots,3411.42,Early Stage,2020
Zimyo,Gurugram,HR tech,Automates everyday HR processes with integrated solutions,36382.05,Other Stages,2020
Sabse Sasta Dukaan,Kolkata,Pharmaceutical,Online pharmacy dealing in medicines,36382.05,Mid Stage,2020
Fitphilia,Mumbai,Healthtech,Provides IoT-enabled treadmill,36382.05,Early Stage,2020
Medicus,Mumbai,Healthtech,AI-based platform that explains and interprets blood tests and medical reports,154.02,Other Stages,2020
